"Data Source","World Development Indicators",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Burundi","BDI","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","825280.6","4377314.7","8008562.3","1000387.5","2882648.6","2162885.3","2778841.7","3033060.9","10363628.4","4256240.8","8622244.5","7909304.1","8158943.7","14474173.2","23728720.1","26218433.7","35026978.8","46769272.5","46322393.7","42786545.7","42398799.4","39267536.5","39611414.4","36084428.1","40930433.6","38630594.9","30949896.3","29422840.2","30524302.9","29858854.6","22638919","23478849.3","23666410.9","29597202","88359698.8","40010353.8","19972254.5","18199197.6","19630496.3","19866682.3","4374807.6","10228445.8","21039161.3","32241970.5","30246927","26931535.4","33404895.9","27140927.2","29980675.7","39999825.3","36670058","29742872.9","",
"Belgium","BEL","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","1746726.1","3681838","2980974","2314021.5","6234698.3","6089263.8","4300511.7","3887225.5","5184996.1","6523789.4","20185298","22612803.2","25060332.6","32956141.1","47382237.9","49150906.8","61897663.9","40798951","28301884.3","25903058.7","37098970.1","30256243.7","27534416.4","31599973.3","39640893.5","48077771.9","43896996.3","52000182.1","58980813.4","69763785.9","76105918.9","47795961.9","57223623.6","50367552.7","41076684","48441194.6","42023701.7","36772435.2","30136093.5","47678936.6","43826230.2","50212087","58958362.8","84040920.5","79195416.1","78183407.9","98641581.9","104064425.9","231423504.6","515280288.8","240667548.7","744874926.2","",
"Burkina Faso","BFA","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","2118275.8","2096983.6","3269202.4","3808626.7","3769790.4","5235909.1","4680948.5","5480935.4","7179328.8","9204558.8","22162354","19636619.8","19773184.5","18049224.9","21628084","29459096.3","36784112","36125963.4","42713339.1","38551432.3","34300368.5","46388864.4","33430338.8","37969383.9","43584707.1","48444528","48535927.7","51432489.8","54157938","64955743.5","47481195","38370318.5","44451440.8","47162210.8","52801760.2","46365486","45474019.1","115878774.5","203546335.7","311442010.3","442793610.3","614217747.3","800565636.3","1026861732.9","1254419045.6","1607980479.4","1235351503.3","1582534335.8","2999515694.4","2314763397.4","2166761439.4","496020328.8","",
"Bangladesh","BGD","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","0","10213356.9","27598613.5","107532906.7","138805300.8","142204838.8","137877475.5","198838505","238734750.7","197348754.3","219719037.1","213712287.9","286251044.4","326759305.6","434216436.5","511529591.7","497637233.1","512226728.3","727008647","595966932.2","528563560.6","516541946.1","534319184.2","751590502","654909091.4","674562310.3","620491471.6","691197510.9","773322606.1","666594362","706732882.9","659152139.2","653283766.1","812105988.3","712935810.5","1008245604.3","940729371.1","1032147833.3","1106277181.1","1528366924.7","1675995387.4","1941041755.6","2032917904.5","1755767691.8","1858006034.6","2277924607.4","3025160205.6","5933851102.9","4047001812","5693247952.6","",
"Bulgaria","BGR","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","68070510.3","158586555.2","300383699.2","457895718.7","1178227918.3","1553656934.9","1989466345.2","2338820336.3","2580146301.2","1374477629.1","275505844.2","450823741.6","328186780.6","687860082.7","1140131755.6","1273036903","1013742074.9","1378837048.2","1254745529.7","1281556851.5","1392105441.6","1411504683.2","1131614181.3","2461209950.8","4466572664.5","3740976427.1","6199983600.1","5649076803.2","4870909559.5","4216781704.2","4455425537.9","4670405411.1","6205626905.7","5341736987.5","9473574467","8142717662.9","8738935359.7","6799514625.6","5749022706.2","5084286056.3","5949724722.4","",
"Bahrain","BHR","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","171343623.1","319516839.3","313327603.1","178896811.8","218020575.9","251873402.9","310236216.5","389752692.5","428041229","477180617.6","466710815.7","570387024.2","1472876326.4","1158688373.2","1388360443.1","1497869359.4","1930997980.3","1230874785.6","1352041734","1388614045.4","1093352463.5","829681564.9","1458327383.2","",
"Belarus","BLR","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13876926.6","118191648.5","181450647.9","155977198.4","191197074.6","201456351.6","269728008.1","389677166.3","338250857.7","378372131.2","427484632.1","384336315.6","700510951.3","752544098.5","1099821742.5","1397885972.8","1681533534.4","1759948694.3","3253151958.7","5030817733.4","4659983547","5356964869.6","4976202594.5","6217484051.1","4408650906.2","5787230891.8","4509320722.2","4291685889.6","4343954365.9","",
